job_name,planKey
ChartToAggregateVersionChecker,AL-CAVC
DKMSTALA,AL-DKMSTAL
CoreApi,API-CORAPI
CyberTech.CoreApi.Communications,API-CYBCAC
CyberTech.UserManager,API-CYBUSMN
ApplicationFramework.Jobs,APFJOBS-AFJ
ApplicationFramework.Jobs.Plugins.DES,APFJOBS-APJD
ApplicationFramework.Jobs.Plugins.HistoricalIndexing.NTR,APFJOBS-INDEXNTR
ApplicationFramework.Jobs.Plugins.Reporting.HIJ,APFJOBS-REPHIJ
ApplicationPlugins.CentralRecorderManagement,AP-APCRM
ApplicationPlugins.CommunicationPlatforms,AP-ESSPLATFORM
ApplicationPlugins.DesConfiguration,AP-DES
ApplicationPlugins.ElasticConfiguration,AP-APLEC
ApplicationPlugins.Fusion.Alarms,AP-APFAM
ApplicationPlugins.Fusion.AuditTrail,AP-APADT
ApplicationPlugins.Fusion.CallSearch,AP-APFCS
ApplicationPlugins.Fusion.GlobalSettings,AP-APFGS
ApplicationPlugins.Fusion.LitigationHoldRules,AP-APLHR
ApplicationPlugins.Fusion.NtrClustersAdministration,AP-APNCA
ApplicationPlugins.Fusion.NtrClustersStatus,AP-APNCS
ApplicationPlugins.Fusion.UserAdministration,AP-APFUA
ApplicationPlugins.KibanaDashboard,AP-APKD
ApplicationPlugins.Labels,AP-APL
ApplicationPlugins.Monitoring,AP-APFBM
ApplicationPlugins.RandomSampling,AP-APRS
ApplicationPlugins.Reconciliation,AP-APREC
ApplicationPlugins.ReconciliationConfiguration,AP-APR
ApplicationPlugins.RoleConfiguration,AP-APPRC
ApplicationPlugins.SearchAndReplay,AP-AP
Nice.AppPlugins.FieldConfiguration,AP-APPFC
ComponentSetup.BT,ASF-COMSBT
AIE4.4_NiceModules_debug,AT-AIE4
BildWorkspace,AT-BIL
BuildAWS,AT-BUIL
BuildAWS2,AT-BUIL2
BUILDAWS3,AT-BUIL3
BuildExchange,AT-BEXC
BuildExchangeLibContent,AT-BUILLC
Building 4.X,AT-B4
Communication Intelligence Export,AT-CIE
ConfluencePlayground,AT-CON
Deploy AIE Libs,AT-DAL
Deploy AIE4.4 Libs,AT-DAL4X
HolisticVisualisation,AT-HOL
nice-components,AT-NIC
nice-exchange,AT-EX
nice-exchange-nant,AT-NICN
Attivio 4X Nice Modules ObserveV2 Only,AS-A4NMOO
Attivio 4X Nice Modules TRC Only,AS-A4NMYO
attivio-4.x-nice-aie.bloomberg,AS-NCB
attivio-4.x-nice-aie.trc,AS-TCTRC
Attivio_3.5_Master,AS-AT
Attivio_3.5_Master_maven-local,AS-ATML
Attivio_3.5_NiceModules,AS-AT35
Attivio_4.X.NiceModules_RabbitMQ_Upgrade,AS-ATRU
Attivio_4.X_NiceModules,AS-AT4X
NICE Attivio_Project,AS-NA
TRC Integration Tests Temporary Plan,AS-TITTP
Corelibraries.Automation,AUT-COR
CoreLibraries.Integrations.Automation,AUT-INTAUT
CoreLibraries.WebAutomation,AUT-CWA
CoreLibraries.WebAutomation.Allure,AUT-CLA
Foxdroid,AUT-FOXD1
PowerTest Deployment,AUT-PTD
RecordingCheck.Agent,AUT-PTA
RecordingCheck.Agent.BlueWave,AUT-RCKBWV
RecordingCheck.Agent.JTAPI,AUT-RCKAGJTAPI
RecordingCheck.Client,AUT-RCKCLIENT
RecordingCheck.ConfigurationPlugin,AUT-RCKCONF
RecordingCheck.ConfigurationService,AUT-RCS
RecordingCheck.Contracts,AUT-PTC
RecordingCheck.Contracts.Client,AUT-RCC
RecordingCheck.DBInterface.Client,AUT-RCKDBICL
RecordingCheck.DBInterface.Contracts,AUT-RCKDBIC
RecordingCheck.DBInterface.Service,AUT-RCKDBI
RecordingCheck.IntegrationTest,AUT-RCKIT
RecordingCheck.JobWorkerPlugin,AUT-RCKJOBPLUGIN
RecordingCheck.JobWorkerPlugin.UI,AUT-REC
RecordingCheck.NtrService,AUT-PTNTR
RecordingCheck.Portal,AUT-RCP
RecordingCheck.PsModule,AUT-PTPM
RecordingCheck.Server,AUT-PTS
RecordingTestMonitor,AUT-RTM
IntegrationSetup.Avaya.Aura,AVAYA-SETUP
LinkController.Avaya,AVAYA-LINK
LinkController.Avaya.BRA-4.4.1,AVAYA-LIN
LinkController.Avaya.BRA-v4.2.10,AVAYA-LINAVA
ArtifactoryCleaner,BAM-ARCL
BuildFarmCheckoutAgent0,BAM-BLD0
BuildFarmCheckoutAgent1,BAM-BLD1
BuildFarmCheckoutAgent10,BAM-BLD10
BuildFarmCheckoutAgent11,BAM-BLD11
BuildFarmCheckoutAgent12,BAM-BLD12
BuildFarmCheckoutAgent13,BAM-BLD13
BuildFarmCheckoutAgent14,BAM-BLD14
BuildFarmCheckoutAgent15,BAM-BLD15
BuildFarmCheckoutAgent16,BAM-BLD16
BuildFarmCheckoutAgent17,BAM-BLD17
BuildFarmCheckoutAgent18,BAM-BLD18
BuildFarmCheckoutAgent19,BAM-BLD19
BuildFarmCheckoutAgent2,BAM-BLD2
BuildFarmCheckoutAgent20,BAM-BLD20
BuildFarmCheckoutAgent21,BAM-BLD21
BuildFarmCheckoutAgent22,BAM-BLD22
BuildFarmCheckoutAgent23,BAM-BLD23
BuildFarmCheckoutAgent24,BAM-BLD24
BuildFarmCheckoutAgent25,BAM-BLD25
BuildFarmCheckoutAgent26,BAM-BLD26
BuildFarmCheckoutAgent27,BAM-BLD27
BuildFarmCheckoutAgent28,BAM-BLD28
BuildFarmCheckoutAgent29,BAM-BLD29
BuildFarmCheckoutAgent3,BAM-BLD3
BuildFarmCheckoutAgent30,BAM-BLD30
BuildFarmCheckoutAgent31,BAM-BLD31
BuildFarmCheckoutAgent32,BAM-BLD32
BuildFarmCheckoutAgent33,BAM-BLD33
BuildFarmCheckoutAgent34,BAM-BLD34
BuildFarmCheckoutAgent35,BAM-BLD35
BuildFarmCheckoutAgent36,BAM-BLD36
BuildFarmCheckoutAgent37,BAM-BLD37
BuildFarmCheckoutAgent38,BAM-BLD38
BuildFarmCheckoutAgent39,BAM-BLD39
BuildFarmCheckoutAgent4,BAM-BLD4
BuildFarmCheckoutAgent40,BAM-BLD40
BuildFarmCheckoutAgent41,BAM-BLD41
BuildFarmCheckoutAgent42,BAM-BLD42
BuildFarmCheckoutAgent43,BAM-BLD43
BuildFarmCheckoutAgent44,BAM-BLD44
BuildFarmCheckoutAgent45,BAM-BLD45
BuildFarmCheckoutAgent46,BAM-BLD46
BuildFarmCheckoutAgent47,BAM-BLD47
BuildFarmCheckoutAgent48,BAM-BLD48
BuildFarmCheckoutAgent49,BAM-BLD49
BuildFarmCheckoutAgent5,BAM-BLD5
BuildFarmCheckoutAgent6,BAM-BLD6
BuildFarmCheckoutAgent7,BAM-BLD7
BuildFarmCheckoutAgent8,BAM-BLD8
BuildFarmCheckoutAgent9,BAM-BLD9
BuildFarmCheckoutAgentUTA,BAM-BUTA
BuildScriptsAgent100,BAM-BUIL100
BuildScriptsAgent101,BAM-BUIL101
BuildScriptsAgent101 - old,BAM-BUIL
BuildScriptsAgent102,BAM-BUIL102
BuildScriptsAgent103,BAM-BUIL103
BuildTagger,BAM-BLDTGGR
NCover,BAM-NCOV
NightlyAgent0,BAM-NIG0
NightlyAgent1,BAM-NIG1
NightlyAgent10,BAM-NIG10
NightlyAgent11,BAM-NIG11
NightlyAgent12,BAM-NIG12
NightlyAgent13,BAM-NIG13
NightlyAgent14,BAM-NIG14
NightlyAgent15,BAM-NIG15
NightlyAgent16,BAM-NIG16
NightlyAgent17,BAM-NIG17
NightlyAgent18,BAM-NIG18
NightlyAgent19,BAM-NIG19
NightlyAgent2,BAM-NIG2
NightlyAgent20,BAM-NIG20
NightlyAgent21,BAM-NIG21
NightlyAgent22,BAM-NIG22
NightlyAgent23,BAM-NIG23
NightlyAgent24,BAM-NIG24
NightlyAgent25,BAM-NIG25
NightlyAgent26,BAM-NIG26
NightlyAgent27,BAM-NIG27
NightlyAgent28,BAM-NIG28
NightlyAgent29,BAM-NIG29
NightlyAgent3,BAM-NIG3
NightlyAgent30,BAM-NIG30
NightlyAgent31,BAM-NIG31
NightlyAgent32,BAM-NIG32
NightlyAgent33,BAM-NIG33
NightlyAgent34,BAM-NIG34
NightlyAgent35,BAM-NIG35
NightlyAgent36,BAM-NIG36
NightlyAgent37,BAM-NIG37
NightlyAgent38,BAM-NIG38
NightlyAgent39,BAM-NIG39
NightlyAgent4,BAM-NIG4
NightlyAgent40,BAM-NIG40
NightlyAgent41,BAM-NIG41
NightlyAgent42,BAM-NIG42
NightlyAgent43,BAM-NIG43
NightlyAgent44,BAM-NIG44
NightlyAgent45,BAM-NIG45
NightlyAgent46,BAM-NIG46
NightlyAgent47,BAM-NIG47
NightlyAgent48,BAM-NIG48
NightlyAgent49,BAM-NIG49
NightlyAgent5,BAM-NIG5
NightlyAgent6,BAM-NIG6
NightlyAgent7,BAM-NIG7
NightlyAgent8,BAM-NIG8
NightlyAgent9,BAM-NIG9
NuGetCop,BAM-NGC
Plan Checker,BAM-PC
ReleaseCop,BAM-RELCOP
Run Automated Test,BAM-RAT
TestRunner,BAM-TR
ThirdPartyCop,BAM-TPC
VMware,BAM-VMWAR
Zip,BAM-ZIP
Agent,BAMA-AG1
AgentBuilder,BAMA-UBAB
BranchChecker,BAMA-BRAN
BuildAgentBuilder,BAMA-BUIL
FillAutomationPools,BAMA-FIL
LinuxAgent,BAMA-LINA
LinuxAgentBuilder,BAMA-LIN
TestAutomationSelectedVmManager,BTA-TAPM
TestAutomationWipePools,BTA-TAWP
IntegrationSetup.BT.IP,BTIP-BTIP
CdrDll.BT.ITS,BTITS-CDRDLLBTIT
IntegrationSetup.BT-ITS,BTITS-CYB
CyberTech.Simulators.BT.SIP,BTSIP-SIM
IntegrationSetup.BT.SIP,BTSIP-SETUP
LinkController.BT.SIP,BTSIP-LINBT
CallController,CAL-CAL
AnnouncementController.Cisco.Cucm.Jtapi,CIC-ACCJ
Cisco.Jtapi,CIC-CISCOJTAPI
IntegrationSetup.Cisco.Cucm,CIC-ISCC
IntegrationSetup.Cisco.Cucm.PreAsf,CIC-CISPASF
LinkController.Cisco.Cucm.Jtapi,CIC-JTAPILNK
LinkController.Cisco.Cucm.Sip,CIC-LINCCS
NTR-X.Azure.Infra,CA-NTRXAZ
NTR.Azure.Infra,CA-NTRAZI
Cloud9Integration,CL9-CNINE
MediaOperations,CL9-MOP
Genesys,CLDAU-GEN
Genesys.Setup,CLDAU-GENS
Nice.CallImport.Setup,CLDAU-NCIS
NiceCallImport,CLDAU-NIC
cn-accordion,CNCOM-CNAC
cn-button,CNCOM-CNBUT
cn-checkbox,CNCOM-CNCHEC
cn-datepicker,CNCOM-DATEPICKR
cn-duration,CNCOM-CNDUR
cn-filters,CNCOM-CNFIL
cn-grid,CNCOM-GRID
cn-header,CNCOM-CNHEAD
cn-indicator,CNCOM-INDCATOR
cn-input,CNCOM-INPUT
cn-loading,CNCOM-CNLOAD
cn-modal,CNCOM-MODAL
cn-navigation,CNCOM-NAVIGATION
cn-player,CNCOM-PLAYER
cn-progress-bar,CNCOM-CNPROG
cn-radiobutton,CNCOM-CNRAD
cn-recorded-entities,CNCOM-CNREC
cn-scheduler,CNCOM-CNSCHED
cn-selectlist,CNCOM-SELECTLIST
cn-sidepanel,CNCOM-SIDEPANEL
cn-slider,CNCOM-CNSLID
cn-tabs,CNCOM-TABS
cn-toast,CNCOM-CNTOAS
cn-toggle-button,CNCOM-CNTOGBU
frontend-utils,CNCOM-FRON
validation_helpers,CNCOM-VALHELP
OPUS codec,CDDLL-OPUS
SILK,CDDLL-SILK
Siren.G.722.1,CDDLL-SIR722
ActiveIntelligenceEngine.Installer.Utils,CS-AC
ApplicationFramework.ExternalUserSources,CS-AEUS
ApplicationFramework.NDRWrapper,CS-NDRW
ApplicationFramework.Reporting,CS-AP
ApplicationPlugins.ComplianceReview,CS-CRP
ApplicationPlugins.ObserveRunnerConfiguration,CS-ORC
AudioHandler.AuthorizationPlugin,CS-AUD
AVA Reports,CS-AVA
AVAInstaller,CS-AI
Cascade Merging Test,CS-CMT
Communication Surveillance Installer,CS-CSI
Communication Surveillance Installer 2.6.0 and older,CS-CSINO
CommunicationWorkItemPublisher,CS-CWIP
ConfigurationService,CS-CON
Connectors,CS-CF
CS installer Tests extension for CS-7515,CS-CITEFC
cs-actone,CS-CSAC
CS-Deployment-Scripts,CS-CSDEP
CS-RCMPlugins,CS-CSRCMPLUG
CS.InteractionAPI,CS-CSIN
csinstallationprerequisites,CS-CSINP
CSM,CS-CSM
CSMonitoringReport,CS-CSMON
EmailFilterService,CS-EFS
Exchange Reconcilliation Kit,CS-ERK
IndependentObserve,CS-IOP
IOSP.REST,CS-HAD
MLaaS,CS-MLAAS
MLaaS-MSC,CS-MLAASMSC
Monitoring Client,CS-MC
NexidiaSearchgrid.Configurationplugin,CS-NCP
Nice-AIE Sync Git to SVN,CS-NSGTS
Nice.ActiveIntelligenceEngine,CS-NAIE
Nice.ActiveIntelligenceEngine.Core,CS-AIEC
Nice.ActOneWebServices.Client,CS-NAWSC
Nice.Application.Database,CS-NAD
Nice.ApplicationFramework,CS-APF
Nice.ApplicationFramework.Client,CS-APFC
Nice.ApplicationPlugins.ComplianceDashboard,CS-CYB
Nice.ApplicationPlugins.Explorer,CS-CSE
Nice.ApplicationPlugins.Reconstruction,CS-APPREC
Nice.AppPlugins.IndexingConfiguration,CS-NICINDEX
Nice.ComplianceReview,CS-NCR
Nice.Connector.Attivio,CS-NCA
Nice.Gateway.Ocelot,CS-NICO
Nice.Gateway.Ocelot.Configuration,CS-GOC
Nice.Gateway.Ocelot.Service,CS-NICOS
Nice.MediaSources.Files,CS-NMSF
Nice.MediaSources.NIM.MiniBus,CS-NMNM
Nice.MediaSources.Other,CS-NMO
Nice.NDR.Synchronization.Attivio,CS-NSNC
Nice.NTR.InteractionFeeder,CS-NNIF
Nice.NTRX.ChatFeeder,CS-NICX
Nice.NTRX.MetaDataFeeder,CS-MDFX
Nice.QueryLevelReporting,CS-QLR
Nice.Reporting.CommonDataProvider,CS-NIC
Nice.SmartIndex.IndexRetentionManager,CS-IRM
Nice.SpeechConverter-BRA-v1.8.0,CS-SC
Observe.REST,CS-OB
Reporting.NIM.DataProvider,CS-REPNIMDP
ReportingApi.Interface,CS-RAPI
ReportingApi.SSRS,CS-RAS
ReviewSelectionFilters.REST,CS-RSFR
S3Downloader,CS-S3DOW
Scenario Interaction Exporter,CS-MSNTR
Smart Index Installer,CS-SII
SmartIndex.REST.Observe,CS-SRO
SmartIndexInstaller.Linux,CS-SIIL
SpeechConverter.QueueingService,CS-SQS
Supervision.Reconcilliation,CS-SUP
TestRestAPITagging,CS-TES
Transcription.API,CS-TAPI
Transcription.API.Setup,CS-TAPIS
Transcription.Bootstrapper,CS-TRAN
TranscriptionAgent,CS-TP
TranscriptionAgent.Bootstrapper,CS-TAB
TranscriptionAgent.Interface,CS-TAI
UIControls.Confirmation,CS-UIC
UIControls.Dashboard,CS-UICDB
UIControls.Explorer,CS-UICE
UIControls.Html5Player,CS-PLAYER
UIControls.ManualInteractionsImport,CS-UICMII
Workflow,CS-WOR
XMLTOJSONUTILITY,CS-XMLTOJ
MediaSources.NTR.Configuration,CSMS-MSNC
MediaSources.NTR.Configuration.Interface,CSMS-MNCI
MediaSources.NTR.ExternalUserSource,CSMS-MNEUS
MediaSources.NTR.Plugin,CSMS-MED
MediaSources.NTR.Shared,CSMS-MNS
MediaSources.NTRX.Plugin,CSMS-MSPX
MediaSources.NTRX.Shared,CSMS-MNXS
CS2.5PL4-ApplicationFramework-Patch,CSP-CS25PL4AP
CS2.5PL4-Explore-Patch,CSP-EXPSRS
CS2.5PL4-Reconstruction-Patch,CSP-CS25PL4REC
CS2.5PL4-Reconstruction1.11.3-Patch,CSP-CS25PL4RECFIX3
CS2.5PL4-with-APF2.9.6-ApplicationFramework-Patch,CSP-CS25PL4WIT
CS2.5PL5-ComplianceReview-Patch,CSP-CS25PL5COM
CS2.6PL4-Explore-Patch,CSP-CS26PL4EXPP
HF CS2.6.10 APF AS,CSP-HFCS2610APFAS
HF CS2.6.2 APF AS,CSP-HFCS262APFAS
HF CS2.6.5 APF AS,CSP-HCA
HF CS2.6.8 APF AS,CSP-HFAPF
HF CS2.6.8 CR AS,CSP-HCC
HF CS2.6.9 APF AS,CSP-HCA1
HF CS3.0.1 APEXP,CSP-APE
HF CS3.0.1 APF,CSP-APF
HF CS3.0.1 APF AS,CSP-HF301APFAS
HF CS3.0.1 APL,CSP-HFAPL
HF CS3.0.1 CCP,CSP-CCP
HF CS3.0.1 FUS AS,CSP-HCF
HF CS3.0.1 MSO AS,CSP-HCM
HF CS3.0.1 REPS,CSP-REPS
HF CS3.0.1 REPS and CCP AS,CSP-HCRC
HF CS3.0.1 SIE SI-PN and SI-AN,CSP-HCSS
HF CS3.0.1 SIP and SIE SI-PN and SI-AN,CSP-HFSIPSIE
HF CS3.0.1 SIP PN-SI,CSP-HCSP
HF CS3.1.0 APF,CSP-HCA31
HF CS3.1.0 APF AS,CSP-HCAA31
HF CS4.1.0 APRS,CSP-HFCS410APRS
HF CS4.2.0 APRS,CSP-HFAPRS
HF CS4.2.0 AS,CSP-HFAS42
InstallerDownloader,CSTT-ID
Nice.SmartIndex.CopyDocuments,CSTT-NIC
TestDataGenerator,CSTT-TDG
ApplicationPlugins.UserManagement,FUS-COM
Compass Smart Index Installer,FUS-CSII
Compass Smart Index Project,FUS-CSIP
Compass.Api.Authentication,FUS-FUS
Compass.Api.Common,FUS-FAC
Compass.Api.Provisioning,FUS-FAP
Compass.Api.Setup,FUS-FASUP
Compass.AuditManagement.ApiPlugin,FUS-FAMA
Compass.DesKeyExchange,FUS-COMDKE
Compass.GetUsersAffectedByCOMPASSUpgradeTool,FUS-CMPUT
Compass.RecorderSso,FUS-COMSSO
Compass.Reporting.Configuration,FUS-COMRC
Compass.Reporting.RecordingCheck,FUS-COMRRCK
