job_name,planKey
LCM.RetentionUpdate.Frontend,DIR-LCMRETFE
LCM.RetentionUpdate.Monitor,DIR-LCMRUP
LCM.RetentionUpdate.Portal,DIR-LCMRET
LCM.RetentionUpdate.Worker,DIR-LCMRUW
LCM.TestData.Generator,DIR-LCMTES
LegacyRecorder.ConfigMigration,DIR-LRCM
LegacyRecorder.Migration,DIR-LRMG
LegacyRecorder.RealtimeIngestion,DIR-LEG
License.Management.Frontend,DIR-LMF
License.Portal,DIR-LIP
License.Worker,DIR-LIW
LinkController.Cisco.Cucm,DIR-LCCC
Localization.Frontend,DIR-LOC
Logger.Capture,DIR-DAF
Logger.Capture.Server,DIR-LOGSER
Logger.Client,DIR-LICL
Logger.Contracts,DIR-LIC
Logger.Integration.Tests,DIR-LOG
Logger.Interaction.Entities,DIR-LOGINTENT
Maintenance.Frontend,DIR-MAINT
Maintenance.Portal,DIR-MAIN
Manhattan.DesignSystem,DIR-MDS
Media.Processing,DIR-MEP
Media.Retrieval,DIR-MED
NTRX Aggregate,DIR-DAP
NTRX Documentation (Discontinued),DIR-NTRXDOC
NTRX PowerRetrieval AddOn,DIR-PRADDON
NTRX RabbitMQ,DIR-NRE
NTRX RabbitMQ BackupRestore,DIR-RMQBR
NTRX RabbitMQ Dead Letter Helper,DIR-RDH
NTRX-MicroService,DIR-EXAMPLESRV
NTRX.IntegrationTestHelper,DIR-NTRXIN
NTRX.LT.Deployer,DIR-NTRXLTDEP
NTRX.Portal.Registry.Settings,DIR-NTRXPRS
NTRX.Registry.Settings,DIR-NTRXREG
NTRX.Requests.Queue,DIR-NTRXREQ
NTRX.SDS.Deployer,DIR-NTRXSDSDEP
NtrxUIProject,DIR-NTRXUIP
OpenIdConnect.Server.Mock,DIR-OCSM
Portal.HelmChart,DIR-PORCHART
PowerRetrieval.Configuration.FrontEnd,DIR-PRCONFFE
PowerRetrieval.Node,DIR-PRNODE
PowerRetrieval.Portal,DIR-POW
Public.Api,DIR-PUB
Public.Api.Configuration.Portal,DIR-PUBCP
Reconciliation.Api,DIR-REC
Reconciliation.FrontEnd,DIR-RECUI
Reconciliation.Portal,DIR-RECP
Reconciliation.Service,DIR-RECSVC
Reconciliation.Shared,DIR-RECH
RecordingCheck.Agent.BlueWave,DIR-RECAG
RecordingCheck.Agent.Jtapi,DIR-RAJ
RecordingCheck.Frontend,DIR-RECF
RecordingCheck.Portal,DIR-RCKP
RecordingCheck.TestExecutor,DIR-RECTE
RecordingRules.Frontend,DIR-RRULE
Reporting.Alarming.Portal,DIR-REPAP
Reporting.Configuration.Portal,DIR-REPCP
Reporting.Frontend,DIR-REPFE
Reporting.HistoricalIngestion,DIR-REPHI
Reporting.Ingestion.Client,DIR-REPCLI
Reporting.Ingestion.Portal,DIR-RIAPI
Reporting.Monitor,DIR-LCMREP
Reporting.Portal,DIR-REP
Reporting.PowerBI,DIR-REPBI
Search.FrontEnd,DIR-SRCUI
Search.Interactions,DIR-SEAR
Search.Interactions.DbGenerator,DIR-SDBGEN
Search.Interactions.Portal,DIR-SIP
SelectiveRecording.Portal,DIR-SRPOR
Service.Monitor,DIR-SERMON
SharedFrontendAssets,DIR-SHFA
SharedFrontendDependencies,DIR-SFDEP
Topology.Builder,DIR-TOPBUI
Topology.FrontEnd,DIR-TOP
Translation.Portal,DIR-TRAN
User.Management.Coverages.FrontEnd,DIR-USC
User.Management.FrontEnd,DIR-UMF
UserManagement.Portal,DIR-US
UserManagement.Roles.FrontEnd,DIR-USR
UserManagement.Scopes.FrontEnd,DIR-USF
UserNotification.Portal,DIR-UNP
WeTest,DIR-WET
Azurite.HelmChart,TEAMS-AZ
IntegrationSetup.Microsoft.Teams,TEAMS-ISMT
MicrosoftTeams.Alarming,TEAMS-MTA
MicrosoftTeams.Automation,TEAMS-MSTAT
MicrosoftTeams.AzureSetup,TEAMS-MAS
MicrosoftTeams.AzureTemplate,TEAMS-MIC
MicrosoftTeams.Chat.Capture,TEAMS-MSCHCA
MicrosoftTeams.Chat.ExportApiMock,TEAMS-EAM
MicrosoftTeams.Chat.Simulator,TEAMS-MSTCS
MicrosoftTeams.Chat.Transcoding,TEAMS-MTCT
MicrosoftTeams.GraphIntegrationCheck,TEAMS-MTGIC
MicrosoftTeams.HelmChart,TEAMS-MHC
MicrosoftTeams.Licensing,TEAMS-MTALS
MicrosoftTeams.Metadata,TEAMS-MTMETA
MicrosoftTeams.NtrX.AzureConfigPush,TEAMS-AZCON
MicrosoftTeams.NtrX.Connections,TEAMS-NTRXCN
MicrosoftTeams.NtrX.RecordingProfiles,TEAMS-NTRXRP
MicrosoftTeams.RecordingIntegrationCheck,TEAMS-MTRIC
MicrosoftTeams.RecordingService,TEAMS-MSTEAMS
MicrosoftTeams.RecordOnDemand,TEAMS-MSROD
MicrosoftTeams.RecordOnDemand.PubSub,TEAMS-RPS
MicrosoftTeams.Replay,TEAMS-MIR
MicrosoftTeams.Retrieval,TEAMS-MTRC
MicrosoftTeams.RetrievalService,TEAMS-DATRET
MicrosoftTeams.TestDataGenerator,TEAMS-TES
MicrosoftTeams.TestTools.Id,TEAMS-MTID
MicrosoftTeams.Transcoding.Media.PerformanceTools,TEAMS-MTPFT
MicrosoftTeams.TranscodingService,TEAMS-MSTXC
TestPlan,TEAMS-TEST01
CyberTech.Migration,NICEMIG-CYBMIG
Nice.Migration.NtrToNtr,NICEMIG-MIGN2N
Nice.Migration.Vpi,NICEMIG-MIGVPI
NtrPlaybackPortalMigration,NICEMIG-NPBMIG
AudioPostProcessor,MIS-AUDPPS
Avaya.AES.Simulator,MIS-AVAES
Avaya.TSAPIClient,MIS-TSAPCLI
CallGenerator,MIS-CAL
ComponentSetup.SharedCdr,MIS-COMSCD
Connectivity.CaptureApi,MIS-CONCAP
CopyWavFile,MIS-COPWAF
CTI_Receiver,MIS-CTIREC
CyberTech.Adapter.BT-IP,MIS-CYBADP
CyberTech.OpenCallController,MIS-CYBOCC
CyberTech.Testing.CallGenerator,MIS-CTC
CyberTech.Wix.Connectivity,MIS-CYBWCT
DaSpeechDetector,MIS-DASDET
IntegrationSetup.MVR,MIS-INMVR
LinkController.FPSLink,MIS-LINFPS
LinkController.NorTel,MIS-LINNRT
MVR,MIS-MVR
MysqlScripts.Connectivity,MIS-MYSCNT
netfx462,MIS-NET462
netfx47,MIS-NET47
Nice.Acme.ISR.ConnectionTester,MIS-NICACT
ParrotApi,MIS-PARAPI
RecordingService,MIS-RECSRC
ServiceLogCollectorFilebeat,MIS-LOGCOLLECT
ServiceMonitor,MIS-SERMNT
UChat,MIS-UCHAT
UChatBases,MIS-UCBAS
Nice.ActiveIntelligenceEngine.ODBC,NIC-NIC
Nice.Ingest.Get,NIG-NIGG
Nice.Ingest.Get.Setup,NIG-NIC
Nice.Ingest.Post,NIG-NIGP
Nice.Ingest.Post.Setup,NIG-NIS
ArchiveLocation.TestTool,NTR-ALT
ComponentSetup.Core.Misc,NTR-CORE
ComponentSetup.Core.UI,NTR-WEBGUI
ComponentSetup.Filebeat,NTR-FILEBEAT
CyberTech.ContentManager,NTR-COM
CyberTech.ContentManager.Imports,NTR-CMI
CyberTech.MediaManager.Client,NTR-CYBMMC
CyberTech.MySql.Setup,NTR-CTMYSS
CyberTech.PlayerComponents,NTR-CYBPLAY
CyberTech.Recorder.Setup.6.6,NTR-REC66
CyberTech.Recorder.Setup.6.7+ (NTR 6.7+ setup and higher),NTR-NTR67
CyberTech.RecorderApi,NTR-RECAPI
CyberTech.SystemManager,NTR-CYBSSM
DBI-Client,NTR-DBIC
MySql.Binaries,NTR-MYSQL
Nice.ContentManager.Binaries,NTR-NCB
Nice.DaylightSavings.Tool,NTR-DLS
Nice.EmcCenteraSdk,NTR-EMC
NICE.LogClean,NTR-LOGC
Nice.MediaSources.NTR,NTR-MSN
Nice.PlaybackPortal.Helper,NTR-PBP
Nice.Recorder.HistoricalIngestionAgent,NTR-HIA
NiceApplications.Playback,NTR-NMF
NTR Webgui Legacy Components,NTR-NWLC
PasswordTool,NTR-PAS
RealtimePlay,NTR-REAL
"Recorder.Configuration (.service, .ReaderClient, and .WriterClient)",NTR-CONFIG
CyberTech.ContentManager BRA-v2.17.0,NTRP-CB2
HF REC6.6.10 CM c,NTRP-HRCC
HF REC6.6.10 UI c,NTRP-HF6610UI
HF REC6.6.11 CM c,NTRP-HF6611CM
HF REC6.6.11 UI c,NTRP-HF6611UI
HF REC6.6.8 CHN cs,NTRP-CHNP
HF REC6.6.8 CM c,NTRP-NTRCMP
HF REC6.6.8 COMM cs,NTRP-COMMP
HF REC6.6.8 CORE c,NTRP-CORE
HF REC6.6.8 UI c,NTRP-UI8140
HF REC6.6.9 CHN cs,NTRP-HRCC669
HF REC6.6.9 CM c,NTRP-HRCCR
HF REC6.6.9 UI c,NTRP-HF669UI
HF REC6.7.1 CM c,NTRP-HF671CM
HF REC6.7.1 COMM cs,NTRP-HF671COMM
HF REC6.7.1 UI c,NTRP-HF671UI
HF REC6.7.10 UI c,NTRP-HF6710UI
HF REC6.7.13 UI c,NTRP-HRUC
HF REC6.7.14 CM c,NTRP-HF6714CM
HF REC6.7.16 UI c,NTRP-HF6716UI
HF REC6.7.3 UI c,NTRP-HF673UI
HF REC6.7.4 CHN cs,NTRP-HFR674CHN
HF REC6.7.4 CM c,NTRP-HF674CM
HF REC6.7.4 CORE c,NTRP-HRCCMISC
HF REC6.7.4 CS cs,NTRP-HFPCS
HF REC6.7.4 UI c,NTRP-HF674UI
Core Server Resilience,NR-CSR
CSR Support Tool,NR-CST
CTI Server Resilience,NR-CTISR
CyberTech.Redundancy,NR-CYBRED
CyberTech.Redundancy 2.11.0,NR-RED211
Resilience GUI and Schema,NR-RGS
Erlang,NPF3P-ERLA
Firebird,NPF3P-FIR
LibMp3Lame,NPF3P-LIBMP3
MySql56.Binaries,NPF3P-MYSBIN
Nice.Dart.PowerSNMP,NPF3P-DAR
NICE.GstSharp,NPF3P-GSTSH
NICE.GstSharp.Test,NPF3P-GTEST
Nice.Microsoft.ApplicationRequestRouting,NPF3P-ARR
Nice.Microsoft.DotNet,NPF3P-MSDN
Nice.Microsoft.DotNetCore,NPF3P-MSDNC
Nice.Microsoft.DotNetCoreDesktop,NPF3P-NDR
Nice.Microsoft.DotNetDesktop,NPF3P-NETD
Nice.Microsoft.IISRewrite,NPF3P-NIC
Nice.Microsoft.SqlNativeClient2012,NPF3P-NMSSNC
Nice.Microsoft.vcredist100,NPF3P-NMVR100
Nice.Microsoft.vcredist120,NPF3P-VCR120
Nice.Microsoft.vcredist140-160,NPF3P-VCR140
Nice.MyODBC,NPF3P-NICODBC
Nice.Wix314,NPF3P-WIX314
RabbitMQ,NPF3P-RABMQ
RabbitMQ-With Nunit enabled,NPF3P-RNE
Telerik-Asp.Net.Ajax,NPF3P-TEL
IntegrationSetup.Etrali.OpenTrade,OPT-INEOT
Automatic.Branch.Merging.PoC,PLAYG-ABM
Bamboo.Cop,PLAYG-BAMCOP
BaseResolveJarsFromArtifactory,PLAYG-BAS
BlueWave POC,PLAYG-BP
CoWorking,PLAYG-COW
Cristian Playground,PLAYG-CPG
CS.Installer.SetupAutomation,PLAYG-CSUITA
CS.Installer.WebAutomation,PLAYG-CSIN
CustomerConfig,PLAYG-CUS
Dmitry.Nice.ApplicationFramework,PLAYG-DMIT
Hans,PLAYG-HANS
IncrementerConfigTest,PLAYG-INCCT
InteractionDetection.Node,PLAYG-INDETNODE
InteractionDetection.Portal,PLAYG-INDETPORT
MarcoImprovementDay20170517,PLAYG-MAR
MNH.WebAut.PoC,PLAYG-MNHWEB
Nexidia.AutomationDeploy,PLAYG-NEXAD
nice-aie 3.5,PLAYG-NICE35
nice-commons,PLAYG-NIC
nice-commons2,PLAYG-NIC2
NodeJs.Playground,PLAYG-NJSPG
play jim,PLAYG-PJ
PlayAllure,PLAYG-PLAYAL
PlayAutomation,PLAYG-PLAYAUT
PlayCompassApi,PLAYG-PLAYC
PlayIevgeniia,PLAYG-PLAYIEV
PlayJaimy,PLAYG-PLAYJ
PlayProject,PLAYG-PLAYP
PlayRobSidebar,PLAYG-PRSB
POC.Integration.Zoom,PLAYG-PIZ
projectbuild,PLAYG-PROJ
QAPOC-Consumer-Contracts,PLAYG-QCC
QAPOC-functional,PLAYG-QAP
QAPOC-Provider-Contracts,PLAYG-QPC
SCK_Docker,PLAYG-SCKDOC
SCK_Docker_base,PLAYG-SCKDOCBASE
SI Customer install pack test,PLAYG-SCIPT
SI.WS2016Support,PLAYG-SIW2016
Supervision-UpgradeFromPrevious,PLAYG-SUPUPGR
Tapi.Setup.AutExtension,PLAYG-TAPISAUT
TB.SetupAutomation,PLAYG-TBSET
testenvironment,PLAYG-TES
ThomasPlayground,PLAYG-TPGR
YildBrokerMaven,PLAYG-YILM
CdrDll.Siemens.OCS,SIEM-CDRDLLSIEM
IntegrationSetup.Siemens.OCS,SIEM-ISUNIFY
Base,SICC-BASE
Base-1.20.6,SICC-BAS
Citi Migration Customer Configuration,SICC-MCC
GIC Migration Customer Configuration,SICC-GMCC
MigrationStandardConnectivityKit,SICC-MIG
Nice.SmartIndex.ResponseTransformers,SICC-RESP
NordeaCustomerConfiguration,SICC-NOR
StandardConnectivityKit,SICC-GEN
StandardConnectivityKit-v1.2,SICC-SCK12
StandardConnectivityKit-v1.3,SICC-STAN13
StandardConnectivityKit-v1.4,SICC-STAN14
Template,SICC-TEM
WestpacCustomerConfiguration,SICC-WES
BofACustomer,SICSC-BCSC
BofASites,SICSC-BOAS
CIBCCustomerSiteSpecificConfiguration,SICSC-CIBSS
CIBCCustomerSpecificConfiguration,SICSC-CIB
CITI Customer Specific Configuration,SICSC-CITICSC
CitiOnPrem,SICSC-CITP
CitiOnPremSite,SICSC-CITS
GIC Customer Specific Configuration,SICSC-GCSC
JPMCCustomerSiteSpecificConfiguration,SICSC-JPMCS
JPMCCustomerSpecificConfiguration,SICSC-JPMC
NomuraAEJCustomerSiteSpecificConfiguration,SICSC-NOMAS
NomuraAEJCustomerSpecificConfiguration,SICSC-NOMA
NomuraEMEACustomerSiteSpecificConfiguration,SICSC-NOMES
NomuraEMEACustomerSpecificConfiguration,SICSC-NOME
NordeaCustomerSiteSpecificConfiguration,SICSC-NORCS
NordeaCustomerSpecificConfiguration,SICSC-NORC
NordeaCustomerSpecificConfigurationOLD,SICSC-NORS
PimcoCustomer,SICSC-PIMC
PimcoSites,SICSC-PIMS
RBCCustomerSiteSpecificConfiguration,SICSC-RBCS
RBCCustomerSpecificConfiguration,SICSC-RBCC
SchrodersCustomer,SICSC-SCHRC
SchrodersSite,SICSC-SCHRS
Template,SICSC-TEM
TemplateLayer3,SICSC-TL3
TemplateLayer4,SICSC-TL4
WestpacCustomerSiteSpecificConfiguration,SICSC-WCSC
WestpacCustomerSpecificConfiguration,SICSC-WCSCO
Bloomberg,SIIP-BLOOM
ConnectorTemplate,SIIP-CNTP
Custom.Ntr.Ingest,SIIP-CUS
FXT,SIIP-FXT
InstallPack_Master,SIIP-IN
MigrationInstallationPacks,SIIP-MIP
Nice.Configuration.Nordea,SIIP-NOR
Nice.Connector.EmailMailbox,SIIP-EMC
Nice.Connector.MsgFile,SIIP-EXC
Nice.Installpack.Bloomberg,SIIP-NIB
Nice.Installpack.TRC,SIIP-NIT
Nice.Installpack.Whitelisting,SIIP-NIW
Nice.Installpacks.Nordea,SIIP-NIN
Reconciliation Report,SIIP-RR
WestPac SICSIP,SIIP-WSSICSIP
YieldBroker,SIIP-YB
YieldBroker_Build_Demo,SIIP-YIEL
IntegrationSetup.Speakerbus.iTurret,SPEAKI-SETUP
Project Counter,SR-PC
ApplicationPlugins.Supervision.Plugin,SUP-SUPP
Deploy SI+AS+Supervision,SUP-DS
Supervision.Auditing,SUP-SUPA
Supervision.Core,SUP-SUPCORE
Supervision.Installer,SUP-SUP
Supervision.Installer.InstallersAutomation,SUP-SUPNAR
Supervision.UI,SUP-SUPUI
SupervisionUIReactBuildSpike,SUP-SUIRBS
SystemOverview.Alarming.Recorder,SYSOVW-SYSOAR
SystemOverview.APFConfiguration.Plugin,SYSOVW-SYSAPF
SystemOverview.Archiving.Plugin,SYSOVW-SYSAPL
SystemOverview.AuditTrail.Fusion,SYSOVW-SYSATF
SystemOverview.AuditTrail.Recorder,SYSOVW-SYSATR
SystemOverview.Authentication.Fusion,SYSOVW-SYSOAF
SystemOverview.Authentication.Interface,SYSOVW-SYSATI
SystemOverview.Authentication.Recorder,SYSOVW-SYSACR
SystemOverview.Compass.Channels.Plugin,SYSOVW-SYSCCP
SystemOverview.Compass.Interactions.Plugin,SYSOVW-SYSCIP
SystemOverview.Connectivity.Recorder,SYSOVW-SYSCONREC
SystemOverview.Hold.Fusion,SYSOVW-SYSOHF
SystemOverview.Installer,SYSOVW-SYSINS
SystemOverview.Interface,SYSOVW-SYSOIF
SystemOverview.NodeAgent,SYSOVW-SYSNAT
SystemOverview.NodeAgent.Installer,SYSOVW-SYSNAI
SystemOverview.NodeAgent.Interface,SYSOVW-SYSNAG
SystemOverview.NodeAgent.Plugin,SYSOVW-SYSNAP
SystemOverview.NodeAgentPlugin.RecorderDiskUsage,SYSOVW-SYSNAR
SystemOverview.NodeAgentPlugin.Roles,SYSOVW-SYSNPR
SystemOverview.PluginUtils,SYSOVW-SYSPUT
SystemOverview.SmartIndexClient.Plugin,SYSOVW-SYSSIC
SystemOverview.Topology.Plugin,SYSOVW-SYSTPP
SystemOverview.Webservice,SYSOVW-SYSWSV
TemplateLibrary,TMPLT-TEM
CleanPool-W2016-TestAutomation,TES-CLEAN
K8s.TestRunner,TES-K8STR
MicrosoftTeams.TestTools.Idx,TES-IDX
Certificates.Tool,TOOL-CERTOO
CyberTech.Signing,TOOL-CTS
Nice.NuGet.Pack,TOOL-NNP
NiceNuBuild2017,TOOL-NUB17
Patch Cached Msi,TOOL-PCM
default,TRUP-DEF
Vodafone.Face,VOD-VOD
Vodafone.Face.Setup,VOD-VODS
